% Definitions and descriptions of IMOS moorings/stations sites.
%
% These information are used in impossible location QC test. 
% distanceKmPlusMinusThreshold overrules other thresholds.
%
% Format:
%
% name, nominalLongitude, nominalLatitude, longitudePlusMinusThreshold, latitudePlusMinusThreshold, distanceKmPlusMinusThreshold
%
CA08-10,-126.07125,71.00456667,0.025,0.025,2.5
CA16-10,-126.4960333,71.7863,0.025,0.025,2.5
CA16-MMP-10,-126.509,71.7545,0.025,0.025,2.5
LS01-10,-90.38828333,74.4696,0.025,0.025,2.5
MS01-10,-108.4132333,74.09601667,0.025,0.025,2.5
AN01-10,-91.94976667,59.96953333,0.025,0.025,2.5
AN02-10,-91.53494333,58.77814833,0.025,0.025,2.5
AN03-10,-77.91866667,55.41373333,0.025,0.025,2.5
AN04-10,-91.60298333,57.67013333,0.025,0.025,2.5
G-10,-135.4887,71.0063,0.025,0.025,2.5
H-10,-134.6853,71.021,0.025,0.025,2.5
I-10,-134.5435,70.8131,0.025,0.025,2.5
J-10,-134.2609,70.89765,0.025,0.025,2.5
A1-10,-136.005,70.7653,0.025,0.025,2.5
A2-10,-135.9146,70.7439,0.025,0.025,2.5
B-10,-135.586,70.6683,0.025,0.025,2.5
F-10,-136.4143,70.9308,0.025,0.025,2.5
AN01-11,-91.95314983,59.96288317,0.025,0.025,2.5
BRA-11,-136.0138,70.75629983,0.025,0.025,2.5
BRB-11,-135.586,70.67,0.025,0.025,2.5
BRG-11,-135.4999,71.0067,0.025,0.025,2.5
BR2-11,-137.9605,69.9911,0.025,0.025,2.5
AN01-12,-91.95314983,59.96288167,0.025,0.025,2.5
BRA-12,-136.0133,70.7568,0.025,0.025,2.5
BRB-12,-135.5862,70.6716,0.025,0.025,2.5
BRG-12,-135.4985,71.0078,0.025,0.025,2.5
BR1-12,-139.0232,70.4335,0.025,0.025,2.5
BR2-12,-137.9608,69.9913,0.025,0.025,2.5
AN01-13,-91.95314983,59.96288317,0.025,0.025,2.5
AN-MMP-HG-14,-4.366333333,78.85533333,0.025,0.025,2.5
AN-MMP-TD-14,-2.753166667,78.564,0.025,0.025,2.5
BS1-14,-134.85061,70.81078667,0.025,0.025,2.5
BRK-14,-135.0199667,70.86245,0.025,0.025,2.5
BS2-14,-135.0944577,70.88123667,0.025,0.025,2.5
BS3-14,-135.2357867,70.92594,0.025,0.025,2.5
BRG-14,-135.5094167,71.00213333,0.025,0.025,2.5
BR4-14,-127.0480833,73.22066667,0.025,0.025,2.5
BR3-14,-129.3565,73.4086,0.025,0.025,2.5
BR2-14,-137.9768667,69.99555,0.025,0.025,2.5
BR1-14,-139.0228333,70.43181667,0.025,0.025,2.5
BCW-13,-155.3458333,71.7957,0.025,0.025,2.5
BCC-13,-155.1851333,71.70975,0.025,0.025,2.5
BCE-13,-154.9957,71.67255,0.025,0.025,2.5
NAP-12,-162.003,75.00283333,0.025,0.025,2.5
NAP-13,-161.9265,74.60183333,0.025,0.025,2.5
CAP-12,-172.5486667,75.20616667,0.025,0.025,2.5
BCW-14,-155.3458333,71.7957,0.025,0.025,2.5
BCC-14,-155.1851333,71.70975,0.025,0.025,2.5
BCE-14,-154.9957,71.67255,0.025,0.025,2.5
CA05-15,-127.5332333,71.27953333,0.025,0.025,2.5
CA08-15,-126.0783,71.00758333,0.025,0.025,2.5
BR1-15,-139.0228333,70.43239167,0.025,0.025,2.5
BR3-15,-129.3537333,73.40943333,0.025,0.025,2.5
BRK-15,-135.0284333,70.86285,0.025,0.025,2.5
BRG-15,-135.4935333,71.00203333,0.025,0.025,2.5
WF1-15,-101.8078333,68.2411,0.025,0.025,2.5
WF2-15,-99.0130305,68.018841,0.025,0.025,2.5
CA05-16,-127.5332333,71.27953333,0.025,0.025,2.5
CA08-16,-126.0783,71.00758333,0.025,0.025,2.5
BR1-16,-139.0228333,70.43239167,0.025,0.025,2.5
BR3-16,-129.3537333,73.40943333,0.025,0.025,2.5
BR3b-16,-129.353893,73.401101,0.025,0.025,2.5
BRK-16,-135.0284333,70.86285,0.025,0.025,2.5
BRG-16,-135.4935333,71.00203333,0.025,0.025,2.5
WF1-16,-101.8078333,68.2411,0.025,0.025,2.5
WF2-16,-99.0130305,68.018841,0.025,0.025,2.5
BA05-16,-70.19885,75.80298333,0.025,0.025,2.5
BA06-16,-70.40071667,75.65525,0.025,0.025,2.5
BA05-17,-70.20295667,75.80387,0.025,0.025,2.5
BA06-17,-70.40900333,75.65628333,0.025,0.025,2.5
